sintomas,especialidad
"Adenopatías generalizadas, acompañado de lesiones herpéticas.",Infectología
Siento que no puedo pegar el ojo en toda la noche que no pasa.,Psiquiatría
Se queja de fractura expuesta que no pasa.,Traumatología
Me da se rompió la cabeza en la caída desde hace 3 días.,Emergencias
Se queja de estoy engordando sin comer tanto de inicio súbito.,Endocrinología
Desde ayer tengo me duele todo el cuerpo de inicio súbito.,Medicina General
Me da dolor poliarticular desde hace 3 días.,Reumatología
Ayúdeme con síncope vasovagal intermitente.,Cardiología
Presenta síndrome febril agudo y dice que tengo bolas en el cuello y axilas.,Infectología
Presenta edema angioneurótico y dice que me pica la nariz y los ojos.,Alergología
Indica tener me mareo si muevo la cabeza desde hace 3 días.,Otorrinolaringología
Manifiesta siento como una pata de elefante en el pecho hace una semana.,Cardiología
Me da irritabilidad y llanto constante desde hace 3 días.,Pediatría
"Ayúdeme con no tengo ganas de hacer nada, solo llorar que no pasa.",Psiquiatría
Tengo estoy engordando sin comer tanto de inicio súbito.,Endocrinología
Paciente refiere que tengo hongos en la piel hace una semana.,Dermatología
Limitación funcional articular y siente fractura expuesta.,Traumatología
"Sudoración nocturna, también refiere síndrome febril agudo.",Infectología
"Doctor, tengo limitación funcional articular de inicio súbito.",Traumatología
Acude por presentar tengo las piernas hinchadas como tamal intermitente.,Cardiología
Hay presencia de me salieron ampollas dolorosas desde esta mañana.,Infectología
Estoy con calentura y cuerpo cortado con mojo la cama de sudor en la noche.,Infectología
Hay presencia de tengo mucha sed y orino bastante de inicio súbito.,Endocrinología
"Tengo las piernas hinchadas como tamal, sumado a me hinca el corazón.",Cardiología
Desde ayer tengo no puedo pegar el ojo en toda la noche intermitente.,Psiquiatría
Manifiesta veo lucecitas antes de que me duela la cabeza hace una semana.,Neurología
"Reacción a medicamentos, también refiere edema angioneurótico.",Alergología
Se queja de proteinuria espumosa de inicio súbito.,Nefrología
Indica tener tengo una fiebre que no se me va que no pasa.,Infectología
Reflujo gastroesofágico con colitis ulcerosa.,Gastroenterología
Ayúdeme con disnea de esfuerzo intermitente.,Cardiología
"Doctor, tengo pérdida de peso caquectizante desde hace 3 días.",Oncología
Me da se está hinchando todo y no respira desde esta mañana.,Emergencias
Manifiesta tengo mucha sed y orino bastante desde hace 3 días.,Endocrinología
Me arde la boca del estómago con tengo el colon inflamado.,Gastroenterología
Edema en miembros inferiores y además síncope vasovagal.,Cardiología
Me da me duele full el oído derecho de inicio súbito.,Otorrinolaringología
Indica tener polidipsia y poliuria constante.,Endocrinología
Paciente refiere que la presión no me baja con nada desde esta mañana.,Nefrología
Siento que dolor poliarticular desde esta mañana.,Reumatología
"Tengo problemas de potencia sexual, sumado a estoy orinando sangre.",Urología
Tengo hongos en la piel con tengo la cara llena de granos feos.,Dermatología
Indica tener me salió alergia por tocar algo desde esta mañana.,Alergología
"Se me regresa la comida agria, sumado a me cae mal todo lo que como.",Gastroenterología
Tengo moquera clara con tengo un dolorcito de cabeza.,Medicina General
Siento que le dio el ataque y se sacudió hace una semana.,Neurología
Hay presencia de hipertensión resistente intermitente.,Nefrología
"Insomnio de conciliación, sumado a crisis de ansiedad generalizada.",Psiquiatría
Desde ayer tengo tengo problemas de potencia sexual hace una semana.,Urología
"Fractura expuesta, también refiere algia lumbar mecánica.",Traumatología
Presento tengo un dolorcito de cabeza hace una semana.,Medicina General
Tengo problemas de potencia sexual y siente me duele mucho un testículo.,Urología
Ayúdeme con todo lo que come lo vomita de inicio súbito.,Pediatría
Desde ayer tengo me arde para orinar y voy a cada rato de inicio súbito.,Urología
Hay presencia de diplopía desde hace 3 días.,Oftalmología
Me chilla el pecho al respirar y siente me ahogo cuando estoy durmiendo.,Neumología
Ayúdeme con sudo demasiado sin hacer nada hace una semana.,Endocrinología
"Cambios en hábito intestinal, también refiere hemorragia digestiva oculta.",Oncología
"Doctor, tengo miodesopsias constante.",Oftalmología
Ayúdeme con cefalea leve de inicio súbito.,Medicina General
Siento que estoy viendo doble desde hace 3 días.,Oftalmología
Me da rinorrea hialina que no pasa.,Medicina General
"Doctor, tengo tiene una tos que no se le quita hace una semana.",Pediatría
Desde ayer tengo tengo la presión por las nubes que no pasa.,Cardiología
Me da sangrado uterino anormal de inicio súbito.,Ginecología
Indica tener hipertensión arterial descontrolada hace una semana.,Cardiología
Ayúdeme con rinorrea hialina desde esta mañana.,Medicina General
Manifiesta insomnio de conciliación de inicio súbito.,Psiquiatría
Indica tener crisis convulsiva tónico-clónica constante.,Neurología
Tiene una tos que no se le quita y siente le salieron granitos en todo el cuerpo.,Pediatría
"Otalgia derecha, acompañado de odinofagia intensa.",Otorrinolaringología
Siento que edema angioneurótico que no pasa.,Alergología
Disfagia progresiva y además masa palpable no dolorosa.,Oncología
"Estoy tosiendo sangre, también refiere tengo tos de perro con flema.",Neumología
Paciente refiere que distensión abdominal de inicio súbito.,Gastroenterología
Desde ayer tengo diaforesis excesiva de inicio súbito.,Endocrinología
Se queja de temblor distal fino de inicio súbito.,Endocrinología
Acude por presentar me quedé sordo de golpe de inicio súbito.,Otorrinolaringología
Manifiesta dermatitis de contacto constante.,Alergología
Alucinaciones auditivas y además ideación suicida.,Psiquiatría
Distensión abdominal y siente epigastralgia urente.,Gastroenterología
Indica tener rinitis alérgica estacional desde hace 3 días.,Alergología
Se queja de diplopía constante.,Oftalmología
Manifiesta le salieron granitos en todo el cuerpo desde hace 3 días.,Pediatría
Me da artralgias matutinas de inicio súbito.,Reumatología
Paciente refiere que tengo un descenso que huele mal constante.,Ginecología
Ayúdeme con tengo el colon inflamado constante.,Gastroenterología
Desde ayer tengo dermatitis atópica desde hace 3 días.,Dermatología
Indica tener le salieron granitos en todo el cuerpo constante.,Pediatría
Se queja de no puedo pegar el ojo en toda la noche de inicio súbito.,Psiquiatría
Hay presencia de me dio un soponcio y me caí desde hace 3 días.,Cardiología
Presento cefalea leve desde hace 3 días.,Medicina General
Acude por presentar tengo mal aliento desde hace 3 días.,Odontología
Desde ayer tengo pirexia no cuantificada desde hace 3 días.,Pediatría
Presento oliguria desde hace 3 días.,Nefrología
"Diaforesis excesiva, acompañado de aumento de peso injustificado.",Endocrinología
Indica tener cambios en hábito intestinal de inicio súbito.,Oncología
Siento que se rompió la cabeza en la caída que no pasa.,Emergencias
Indica tener nevus displásico constante.,Dermatología
"Insomnio de conciliación, también refiere crisis de ansiedad generalizada.",Psiquiatría
Se queja de se me hinchó la boca y los ojos desde esta mañana.,Alergología
Intolerancia al frío y además diaforesis excesiva.,Endocrinología
Indica tener fotofobia constante.,Oftalmología
Desde ayer tengo dolor pleurítico intermitente.,Neumología
Tengo erupción exantemática desde esta mañana.,Pediatría
Se queja de absceso periodontal que no pasa.,Odontología
Tengo astenia y adinamia desde esta mañana.,Medicina General
Tengo diplopía constante.,Oftalmología
Hay presencia de nevus displásico desde esta mañana.,Dermatología
Hay presencia de distensión abdominal hace una semana.,Gastroenterología
"Doctor, tengo intolerancia a la vía oral constante.",Pediatría
Dispepsia funcional con epigastralgia urente.,Gastroenterología
"Intolerancia a la vía oral, acompañado de tos ferina.",Pediatría
Indica tener me sale sangre de la nariz de inicio súbito.,Otorrinolaringología
Siento que edema y equimosis post-traumática hace una semana.,Traumatología
Desde ayer tengo me duele la muela horrible desde esta mañana.,Odontología
Acude por presentar todo lo que come lo vomita que no pasa.,Pediatría
"Doctor, tengo tengo mal aliento que no pasa.",Odontología
"Cambios en hábito intestinal, acompañado de hemorragia digestiva oculta.",Oncología
Desde ayer tengo migraña con aura de inicio súbito.,Neurología
Indica tener me cae mal todo lo que como desde esta mañana.,Gastroenterología
"Erupción exantemática, acompañado de irritabilidad y llanto constante.",Pediatría
Desde ayer tengo disnea paroxística nocturna hace una semana.,Neumología
Indica tener tengo la cara llena de granos feos desde esta mañana.,Dermatología
Manifiesta dolor en fosa renal que no pasa.,Nefrología
Sibilancias espiratorias y además tos productiva con esputo.,Neumología
Odontalgia severa con bruxismo.,Odontología
Ayúdeme con traumatismo craneoencefálico de inicio súbito.,Emergencias
Desde ayer tengo epistaxis anterior que no pasa.,Otorrinolaringología
Desde ayer tengo colitis ulcerosa constante.,Gastroenterología
Presento la presión no me baja con nada que no pasa.,Nefrología
"Me ahogo cuando estoy durmiendo, también refiere tengo tos de perro con flema.",Neumología
"La presión no me baja con nada, acompañado de amanecí con los ojos hinchados.",Nefrología
Hay presencia de me duele todo el cuerpo constante.,Medicina General
Me da tengo mucha sed y orino bastante que no pasa.,Endocrinología
Tengo crisis de ansiedad generalizada desde hace 3 días.,Psiquiatría
Desde ayer tengo me enronché después de tomar la pastilla de inicio súbito.,Alergología
"Se me va el aire al subir gradas, sumado a me hinca el corazón.",Cardiología
Lesiones herpéticas con sudoración nocturna.,Infectología
Me da me siento decaído y sin fuerzas que no pasa.,Medicina General
Se queja de me hinca el corazón constante.,Cardiología
Amanezco tieso y siente me duelen todas las uniones.,Reumatología
"Doctor, tengo la presión no me baja con nada que no pasa.",Nefrología
Desde ayer tengo me ahogo cuando estoy durmiendo desde hace 3 días.,Neumología
Hay presencia de hiperemia conjuntival constante.,Oftalmología
Presento tengo un dolor en el riñón que me dobla de inicio súbito.,Urología
Parestesias en hemicuerpo y siente cefalea tensional holocraneal.,Neurología
Indica tener tos productiva con esputo constante.,Neumología
"Me duelen todas las uniones, también refiere se me ponen los dedos blancos con el frío.",Reumatología
"Astenia y adinamia, también refiere rinorrea hialina.",Medicina General
Tengo fractura expuesta hace una semana.,Traumatología
Tengo tengo un nacido en la encía intermitente.,Odontología
Me salieron ampollas dolorosas y siente tengo bolas en el cuello y axilas.,Infectología
Hay presencia de me duele toda la cabeza como si tuviera una vincha desde esta mañana.,Neurología
Paciente refiere que hematemesis que no pasa.,Gastroenterología
Ictericia marcada y siente hematemesis.,Gastroenterología
Acude por presentar me enronché después de tomar la pastilla hace una semana.,Alergología
Acude por presentar dolor testicular agudo desde hace 3 días.,Urología
Desde ayer tengo me duelen todas las uniones intermitente.,Reumatología
Tengo rigidez articular desde esta mañana.,Reumatología
"Mastalgia cíclica, también refiere sangrado uterino anormal.",Ginecología
Me da se me regresa la comida agria que no pasa.,Gastroenterología
Me da me hinca el corazón constante.,Cardiología
Acude por presentar edema periorbitario constante.,Nefrología
Presenta hemorragia digestiva oculta y dice que me siento una bola dura que no duele.,Oncología
Ayúdeme con me siento decaído y sin fuerzas de inicio súbito.,Medicina General
Siento que algia lumbar mecánica intermitente.,Traumatología
